"Periodo(MMM DD, AAAA)";"Tasa de Depósitos a Término Fijo (DTF) a 90 días, semanal";"Tasa de Certificado de Depósito a Término (CDT) a 180 días, semanal";"Tasa de Certificado de Depósito a Término (CDT) a 360 días, semanal"
"1984/01/20";36,45;;
"1984/01/27";36,21;;
"1984/02/03";35,95;;
"1984/02/10";35,84;;
"1984/02/17";35,9;;
"1984/02/24";35,8;;
"1984/03/02";35,57;;
"1984/03/09";35,45;;
"1984/03/16";35,4;;
"1984/03/23";35,16;;
"1984/03/30";35,13;;
"1984/04/06";35,52;;
"1984/04/13";35,54;;
"1984/04/20";35,3;;
"1984/04/27";35,45;;
"1984/05/04";35,58;;
"1984/05/11";35,26;;
"1984/05/18";35,67;;
"1984/05/25";35,42;;
"1984/06/01";35,62;;
"1984/06/08";35,86;;
"1984/06/15";35,48;;
"1984/06/22";35,57;;
"1984/06/29";35,68;;
"1984/07/06";35,77;;
"1984/07/13";35,99;;
"1984/07/20";35,92;;
"1984/07/27";35,9;;
"1984/08/03";36,05;;
"1984/08/10";36,02;;
"1984/08/17";36,43;;
"1984/08/24";36,15;;
"1984/08/31";35,98;;
"1984/09/07";36,08;;
"1984/09/14";35,96;;
"1984/09/21";36,27;;
"1984/09/28";35,68;;
"1984/10/05";36,49;;
"1984/10/12";36,21;;
"1984/10/19";35,76;;
"1984/10/26";36,14;;
"1984/11/02";35,98;;
"1984/11/09";35,86;;
"1984/11/16";35,96;;
"1984/11/23";35,89;;
"1984/11/30";36,15;;
"1984/12/07";36,14;;
"1984/12/14";36,34;;
"1984/12/21";36,01;;
"1984/12/28";36,12;;
"1985/01/04";36,26;;
"1985/01/11";36,62;;
"1985/01/18";36,43;;
"1985/01/25";36,34;;
"1985/02/01";36,31;;
"1985/02/08";35,98;;
"1985/02/15";35,87;;
"1985/02/22";36,01;;
"1985/03/01";35,96;;
"1985/03/08";35,67;;
"1985/03/15";36,03;;
"1985/03/22";35,73;;
"1985/03/29";35,8;;
"1985/04/05";35,83;;
"1985/04/12";36,18;;
"1985/04/19";35,52;;
"1985/04/26";35,73;;
"1985/05/03";35,86;;
"1985/05/10";35,81;;
"1985/05/17";35,9;;
"1985/05/24";36,01;;
"1985/05/31";36,23;;
"1985/06/07";36,42;;
"1985/06/14";36,51;;
"1985/06/21";36,2;;
"1985/06/28";36,24;;
"1985/07/05";36,45;;
"1985/07/12";36,86;;
"1985/07/19";36,12;;
"1985/07/26";36,28;;
"1985/08/02";36,33;;
"1985/08/09";36,24;;
"1985/08/16";36,68;;
"1985/08/23";36,27;;
"1985/08/30";36,31;;
"1985/09/06";36,11;;
"1985/09/13";36,62;;
"1985/09/20";36,4;;
"1985/09/27";36,26;;
"1985/10/04";36,61;;
"1985/10/11";36,77;;
"1985/10/18";36,82;;
"1985/10/25";36,37;;
"1985/11/01";36,65;;
"1985/11/08";36,71;;
"1985/11/15";36,86;;
"1985/11/22";35,89;;
"1985/11/29";36,49;;
"1985/12/06";36,43;;
"1985/12/13";36,46;;
"1985/12/20";36,62;;
"1985/12/27";36,49;;
"1986/01/03";36,31;;
"1986/01/10";36,61;;
"1986/01/17";35,99;;
"1986/01/24";36,3;;
"1986/01/31";36,36;;
"1986/02/07";34,95;;
"1986/02/14";31,32;;
"1986/02/21";30,72;;
"1986/02/28";30,68;;
"1986/03/07";30,62;;
"1986/03/14";30,61;;
"1986/03/21";30,61;;
"1986/03/28";30,58;;
"1986/04/04";30,3;;
"1986/04/11";30,54;;
"1986/04/18";30,56;;
"1986/04/25";30,49;;
"1986/05/02";30,52;;
"1986/05/09";30,33;;
"1986/05/16";30,49;;
"1986/05/23";30,55;;
"1986/05/30";30,59;;
"1986/06/06";30,49;;
"1986/06/13";30,7;;
"1986/06/20";30,76;;
"1986/06/27";30,61;;
"1986/07/04";30,65;;
"1986/07/11";30,68;;
"1986/07/18";30,89;;
"1986/07/25";31,59;;
"1986/08/01";31,86;;
"1986/08/08";31,79;;
"1986/08/15";31,77;;
"1986/08/22";31,55;;
"1986/08/29";31,49;;
"1986/09/05";31,39;;
"1986/09/12";31,83;;
"1986/09/19";31,52;;
"1986/09/26";31,39;;
"1986/10/03";31,19;;
"1986/10/10";31,22;;
"1986/10/17";31,29;;
"1986/10/24";31,39;;
"1986/10/31";31,5;;
"1986/11/07";31,77;;
"1986/11/14";32,03;;
"1986/11/21";32,25;;
